sample_name	TKW
A1	0.484064742
A2	0.516396616
A3	0.459330144
A4	0.468747597
A5	0.510694283
A6	0.540370251
A7	0.484837275
A8	0.46617698
A9	0.463757481
A10	0.463038921
A11	0.488284203
A12	0.47089606
A13	0.471427461
A14	0.500871696
A15	0.490761548
A16	0.506550399
A17	0.514184116
A18	0.479516134
A19	0.47577722
A20	0.494945912
A21	0.451368421
A22	0.484927974
A23	0.487665647
A24	0.455083179
A25	0.485857209
A26	0.470285597
A27	0.480179047
A28	0.519626069
A29	0.542072017
A30	0.494208991
A31	0.487955337
A32	0.451485375
A33	0.511076303
A34	0.484844726
A35	0.496375745
A36	0.502028495
A37	0.461969806
A38	0.514106192
A39	0.497908087
A40	0.480290023
A41	0.517788148
A42	0.46797475
A43	0.507883149
A44	0.51755834
A45	0.531612314
A46	0.539111274
A47	0.516665797
A48	0.473447745
A49	0.491061822
A50	0.470668267
A51	0.502408459
A52	0.490675974
